scorer,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2
bodyparts,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
51,,,1.0,875.642,707.283,0.37400001287460327,892.134,620.642,0.6800000071525574,884.39,539.539,0.5830000042915344,988.473,467.627,0.5199999809265137,,,,,,,,,,,,,,,
52,,,1.0,883.85,707.279,0.3930000066757202,892.134,620.674,0.6790000200271606,884.102,539.546,0.6150000095367432,988.408,467.621,0.5260000228881836,,,,,,,,,,,,,,,
53,,,1.0,883.85,700.849,0.3479999899864197,892.141,620.674,0.6909999847412109,884.019,539.546,0.6179999709129333,988.404,467.604,0.527999997138977,,,,,,,,,,,,,,,
54,,,1.0,883.85,700.814,0.3269999921321869,892.197,620.674,0.6909999847412109,884.016,539.546,0.5960000157356262,988.368,467.604,0.5230000019073486,,,,,,,,,,,,,,,
55,,,1.0,883.85,700.814,0.382999986410141,892.21,620.664,0.6919999718666077,883.984,539.553,0.6050000190734863,988.368,467.603,0.5230000019073486,,,,,,,,,,,,,,,
56,,,1.0,883.85,700.814,0.39899998903274536,892.21,620.664,0.6919999718666077,883.984,539.566,0.6110000014305115,988.366,467.602,0.5230000019073486,,,,,,,,,,,,,,,
57,,,1.0,884.07,707.676,0.45100000500679016,892.21,620.663,0.6909999847412109,883.944,539.566,0.6200000047683716,988.323,467.559,0.5189999938011169,,,,,,,,,,,,,,,
58,,,1.0,884.111,707.764,0.42500001192092896,892.209,620.663,0.6899999976158142,883.944,539.566,0.6200000047683716,988.323,467.553,0.5189999938011169,,,,,,,,,,,,,,,
59,,,1.0,884.317,707.783,0.4350000023841858,892.153,620.661,0.6899999976158142,883.944,539.562,0.6230000257492065,988.292,467.545,0.5099999904632568,,,,,,,,,,,,,,,
60,,,1.0,884.791,716.694,0.421999990940094,892.05,620.661,0.6800000071525574,884.158,539.315,0.5680000185966492,979.81,467.545,0.42899999022483826,,,,,,,,,,,,,,,
61,,,1.0,884.791,716.702,0.4189999997615814,892.05,620.661,0.6840000152587891,884.159,539.315,0.5709999799728394,979.805,467.545,0.4259999990463257,,,,,,,,,,,,,,,
62,,,1.0,884.81,716.715,0.4300000071525574,892.049,620.661,0.6840000152587891,884.159,539.315,0.5709999799728394,979.805,467.545,0.4259999990463257,,,,,,,,,,,,,,,
63,,,1.0,884.81,716.715,0.3610000014305115,892.05,620.66,0.6840000152587891,884.159,539.315,0.5709999799728394,979.805,467.545,0.4259999990463257,,,,,,,,,,,,,,,
